feature,tfidf
aktif,0.0
aktivis,0.0
aktivitas,0.0
aktor,0.0
aktuql,0.0
aku,0.0
akucintapapua,0.0
akuntwitter,0.0
akutu,0.0
akutuh,0.0
ala,0.0
alam,0.0
alami,0.0
alangkah,0.0
alas,0.0
alaska,0.0
alat,0.0
alhamdulillah,0.0
alhamdulliah,0.0
ali,0.0
aliansi,0.0
alias,0.0
alih,0.0
allaahuakbarr,0.0
allah,0.0
allh,0.0
alokasi,0.0
alternatif,0.0
alumni,0.0
ama,0.0
amal,0.0
aman,0.0
amanat,0.0
amat,0.0
amatir,0.0
amazon,0.0
ambang,0.0
ambil,0.0
ambrose,0.0
amdal,0.0
amen,0.0
americi,0.0
amerika,0.0
amhar,0.0
ami,0.0
amien,0.0
amienrais,0.0
amin,0.0
aminnn,0.0
ampera,0.0
ampg,0.0
amplop,0.0
ampuh,0.0
an,0.0
anaaaaa,0.0
anak,0.0
analis,0.0
analisa,0.0
analisis,0.0
analogi,0.0
analytical,0.0
ancam,0.0
ancang,0.0
ancang2,0.0
and,0.0
anda,0.0
anda2,0.0
andal,0.0
andrew,0.0
android,0.0
aneh,0.0
anekdot,0.0
angan,0.0
anggap,0.0
anggar,0.0
anggara,0.0
anggota,0.0
anggran,0.0
angin,0.0
angkat,0.0
angkut,0.0
anies,0.0
aniesbaswedan,0.0
aniesjokowi,0.0
anis,0.0
anjir,0.0
ank,0.0
annavita,0.0
antar,0.0
antara,0.3066432091301581
anthony,0.0
anti,0.0
antihoax,0.0
antisipasi,0.0
antusias,0.0
antusiasme,0.0
anzar,0.0
aokrxjcree,0.0
ap,0.0
apa,0.0
apabila,0.0
apakah,0.0
apalagi,0.0
aparat,0.0
aparatur,0.0
apbd,0.0
apbn,0.0
aphqhoyu8r,0.0
aplikasi,0.0
apln,0.0
apm,0.0
appid,0.0
apresiasi,0.0
aqkftd8puj,0.0
ar,0.0
arah,0.0
argumen,0.0
argumen2,0.0
argumentasi,0.0
ari,0.0
arief,0.0
arif,0.0
arsip,0.0
arti,0.0
artikel,0.0
artis,0.0
arya,0.0
as,0.0
as8wgmvtzh,0.0
asa,0.0
asaan,0.0
asai,0.0
asal,0.0
asasi,0.0
asbun,0.0
asemkakan,0.0
aseng,0.0
aset,0.0
asgard,0.0
asgardian,0.0
asi,0.0
asia,0.0
asing,0.0
asked,0.0
askingforafriend,0.0
asli,0.0
asn,0.0
asong,0.0
asoy,0.0
aspek,0.0
aspeksindo,0.0
aspirasi,0.0
asshiddiqie,0.0
asshidiqie,0.0
astaga,0.0
asudahlah,0.0
asumsi,0.0
asyik,0.0
at,0.0
atama,0.0
atas,0.0
atau,0.0
ato,0.0
atur,0.0
atw,0.0
august,0.0
australia,0.0
awa,0.0
awak,0.0
awal,0.0
awam,0.0
awas,0.0
axb9k2k4wq,0.0
ayah,0.0
ayeuna,0.0
ayo,0.0
ayok,0.0
ayom,0.0
ayoo,0.0
ayt,0.0
ayul7rts3n,0.0
azab,0.0
azzxnnfk6i,0.0
b2xhmnypld,0.0
b5ghltkgcp,0.0
b6c6fwkmts,0.0
babak,0.0
babel,0.0
baca,0.0
bacaindoposaja,0.0
bachmid,0.0
back,0.0
bacotansantuy,0.0
badan,0.348513330227804
bae,0.0
bagai,0.0
bagaimana,0.0
bagi,0.0
bagus,0.0
bah,0.0
bahagia,0.0
bahan,0.0
bahas,0.0
bahasa,0.0
bahaya,0.0
bahkan,0.0
bahlul,0.0
bahwa,0.0
bahwasanya,0.0
baik,0.0
baik2nya,0.0
baja,0.0
bajing,0.0
bak,0.0
bakal,0.0
bakaltumbuhkanperekonomianindonesiatimur,0.0
bakar,0.0
bal,0.0
balance,0.0
balik,0.0
balikpapan,0.0
balqis,0.0
bambang,0.0
bambank,0.0
bambu,0.0
bamsoet,0.0
ban,0.0
bandar,0.0
bandara,0.0
banding,0.0
bandung,0.0
bandungraya,0.0
bang,0.0
banget,0.0
bangga,0.0
bangkit,0.0
bangkrut,0.0
bangsa,0.0
bangsat,0.0
bangun,0.0
bani,0.0
banjarbaru,0.0
banjarmasin,0.0
banjir,0.0
bank,0.0
banser,0.0
bantah,0.0
bantu,0.0
banya,0.0
banyak,0.0
bapak,0.0
bapak2,0.0
bapake,0.0
bapenas,0.0
bapk,0.0
bappeda,0.0
bappenas,0.0
bara,0.0
barang,0.0
barangan,0.0
barat,0.0
barcelona,0.0
bareng,0.0
bareng2,0.0
bargaining,0.0
baris,0.0
baru,0.0
barusan,0.0
bas,0.0
basa,0.0
basarah,0.0
based,0.0
basi,0.0
bastian,0.0
basuki,0.0
baswedan,0.0
batak,0.0
batal,0.0
batalkanpindahibukota,0.0
batas,0.0
batavia,0.0
batiwakkal,0.0
batu,0.0
bau,0.0
bawa,0.0
bawah,0.0
bayang,0.0
bayangin,0.0
bayar,0.0
bbm,0.0
bca,0.0
be,0.0
beban,0.0
bebas,0.0
beberapa,0.0
becus,0.0
beda,0.0
bedah,0.0
begana,0.0
begimana,0.0
begini,0.0
begitu,0.0
begituji,0.0
begni,0.0
bego,0.0
behind,0.0
beijing,0.0
bejibun,0.0
bekas,0.0
bekelas,0.0
bekepribadian,0.0
bekerja,0.0
belaka,0.0
belakang,0.0
belanda,0.0
belanja,0.0
belelo,0.0
belenggu,0.0
beli,0.0
beliau,0.0
belit,0.0
belum,0.0
belumm,0.0
benah,0.0
benar,0.0
bencana,0.0
benci,0.0
bendung,0.0
beneer,0.0
bener,0.0
bener2,0.0
bengak,0.0
bengkak,0.0
bening,0.0
bentar,0.0
bentuk,0.2954768647123143
bentur,0.0
benturin,0.0
ber,0.0
berandasore,0.0
berangkat,0.0
berani,0.0
berapa,0.0
berastagi,0.0
berat,0.0
berb,0.0
berdampakhanya,0.0
berdapak,0.0
berdiakusi,0.0
beres,0.0
berfikir,0.0
berfikirnya,0.0
berhusnudzon,0.0
beri,0.0
beribuk,0.0
beribukota,0.0
berita,0.2660756024596806
beritaislam,0.0
beritanasional,0.0
beritaterkini,0.0
berkah,0.0
berlapis,0.0
berlipat2,0.0
berprespektif,0.0
bersatulagi,0.0
bersih,0.0
bersihkanindonesia,0.0
bertahun2,0.0
bertanya2,0.0
besan,0.0
besar,0.0
besok,0.0
besuara,0.0
bet,0.0
betawi,0.0
betul,0.0
betul2,0.0
bfojxlirqa,0.0
bfwb,0.0
bfzcrgdvcs,0.0
bg,0.0
bgini,0.0
bgsdozwcct,0.0
bgt,0.0
bhcnomvnfn,0.0
bhinnekatunggalika,0.0
bhw,0.0
bi,0.0
biar,0.0
biasa,0.0
biaya,0.0
bicara,0.0
bidang,0.0
bidik,0.0
bigot,0.0
bigrpfvb9s,0.0
bijak,0.0
bijaksana,0.0
bikin,0.0
bikini,0.0
bil,0.0
bila,0.0
bilang,0.0
bilau,0.0
bill,0.0
bima,0.0
bincang,0.0
bingar,0.0
bingarnya,0.0
bingung,0.0
bintang,0.0
birokrasi,0.0
bisa,0.0
bisnis,0.0
bisnishotel,0.0
bit,0.0
bius,0.0
bivwydawai,0.0
biyaya,0.0
bjps,0.0
bkn,0.0
bla,0.0
blm,0.0
bln,0.0
blng,0.0
block,0.0
blokir,0.0
blom,0.0
bloon,0.0
blpnxuu1pq,0.0
bncan,0.0
bnpb,0.0
bnyak,0.0
bnyk,0.0
bnyk2,0.0
bo38ibfp9y,0.0
bob,0.0
bobrok,0.0
bocor,0.0
bodo,0.0
bodoh,0.0
bofu9lysog,0.0
bogor,0.0
bohong,0.0
bohongin,0.0
bokep,0.0
bola,0.0
boleh,0.0
bolong,0.0
bolos,0.0
bom,0.0
bondowoso,0.0
boneka,0.0
bong,0.0
borneo,0.0
boro,0.0
boro2,0.0
boroko,0.0
borong,0.0
boros,0.0
bos,0.0
boss,0.0
bottom,0.0
bp,0.0
bpa,0.0
bpjs,0.0
bpjsmencekik,0.0
bpjsmencekikleher,0.0
bpk,0.0
bpn,0.0
bps,0.0
bq0cqaxmwx,0.0
brasil,0.0
brasilia,0.0
brazil,0.0
brdmpak,0.0
breaking,0.0
brgerak,0.0
brharap,0.0
bro,0.0
brodjonegoro,0.0
brother,0.0
brpendapat,0.0
bru,0.0
brunai,0.0
brunie,0.0
bruntun,0.0
bs,0.0
bs8kzuzfxe,0.0
bsgyrz2oh2,0.0
btw,0.0
bu,0.0
buah,0.0
buang,0.0
buat,0.0
buatin,0.0
buaya,0.0
bubar,0.0
bubarkanbanser,0.0
budaya,0.0
budayawan,0.0
budiawan,0.0
built,0.0
bujuk,0.0
buka,0.0
bukan,0.0
bukit,0.0
bukittinggi,0.0
bukti,0.0
buku,0.0
bulan,0.0
buldozer,0.0
bulog,0.0
bulu,0.0
bumi,0.0
bumn,0.0
bung,0.0
bungkam,0.0
bungkus,0.0
bungul,0.0
bunser,0.0
bunuh,0.0
bunyi,0.0
bupati,0.0
buru,0.0
buru2,0.0
buruh,0.0
buruk,0.0
busuk,0.0
buta,0.0
butuh,0.0
by,0.0
bye,0.0
byj26gor91,0.0
byk,0.0
byr,0.0
c58n9gnq8p,0.0
cabut,0.0
cacat,0.0
cacing,0.0
cah,0.0
cair,0.0
cairo,0.0
cak,0.0
cakap,0.0
cakap2,0.0
cakiminow,0.0
cakup,0.0
california,0.0
calon,0.0
camat,0.0
campur,0.0
canang,0.0
cantik,0.0
cap,0.0
capai,0.0
capek,0.0
capital,0.0
capres,0.0
cara,0.0
cari,0.0
carut,0.0
catat,0.0
catur,0.0
cawapres,0.0
cc,0.0
ccg9h1ckh7,0.0
ccvgnynt3d,0.0
ce,0.0
cebong,0.0
cek,0.0
cela,0.0
celoteh,0.0
cemar,0.0
cemas,0.0
cemburu,0.0
cemen,0.0
cendananews,0.0
cenderung,0.0
center,0.0
cepat,0.0
cepet,0.0
cerdas,0.0
cerdik,0.0
cerita,0.0
cermat,0.0
cermin,0.0
cerna,0.0
cetak,0.0
cetus,0.0
cgt7bck9h9,0.0
chaniago,0.0
channel,0.0
chaosnya,0.0
china,0.0
chooses,0.0
cikampek,0.0
cimahi,0.0
cina,0.0
ciparay,0.0
ciprat,0.0
cipta,0.0
cirebon,0.0
ciri,0.0
cita,0.0
citra,0.0
city,0.0
ckf3fy864x,0.0
ckilp95lro,0.0
cm,0.0
cmd,0.0
cnn,0.0
cnnidnewsreport,0.0
cnnindonesia,0.0
coba,0.0
cocok,0.0
code,0.0
coffeebreak,0.0
colateral,0.0
colek,0.0
com,0.0
comics,0.0
commentnya,0.0
confirming,0.0
connect,0.0
connectsindonesia,0.0
cons,0.0
cont,0.0
contoh,0.0
copile,0.0
core,0.0
coret,0.0
cortrfg0pm,0.0
cost,0.0
courtesy,0.0
cpjzh3hbky,0.0
cpns,0.0
credit,0.0
cs,0.0
csps,0.0
cuat,0.0
cucu,0.0
cucur,0.0
cuek,0.0
cuil,0.0
cuit,0.0
cuk,0.0
cukong,0.0
cukup,0.0
cuma,0.0
cuman,0.0
cuplik,0.0
curang,0.0
curhat,0.0
curi,0.0
curiga,0.0
cushman,0.0
cwef7n7ipq,0.0
cxmpopwbjz,0.0
czojddnfef,0.0
d1tw4yjwkh,0.0
d40cne7lbp,0.0
da,0.0
da0ffwydcc,0.0
dadak,0.0
dadang,0.0
daerah,0.0
daftar,0.0
dagang,0.0
dah,0.0
dahlan,0.0
dahlaniskan,0.0
dahnil,0.0
dahulu,0.0
dahuri,0.0
dai,0.0
dalam,0.0
dalih,0.0
dam,0.0
damai,0.0
dampak,0.0
dan,0.0
dana,0.0
dandy,0.0
dangkal,0.0
daoxkrr4l8,0.0
dapat,0.0
dapet,0.0
dar,0.0
darah,0.0
dari,0.0
daripada,0.0
darmansyah,0.0
darurat,0.0
darussalam,0.0
dasar,0.0
dasawarsa,0.0
data,0.0
datang,0.0
datuk,0.0
daulat,0.0
daya,0.0
dayak,0.0
dayil0cw8d,0.0
dbd18jgfva,0.0
dbikaplus3,0.0
dbowoz3vk9,0.0
dc,0.0
dcsdvxj1ts,0.0
de,0.0
deal,0.0
dealan,0.0
dear,0.0
debat,0.0
debt,0.0
definitif,0.0
defisit,0.0
deforestasi,0.0
deh,0.0
dekat,0.0
deket2,0.0
delapan,0.0
demi,0.0
demikian,0.0
demo,0.0
demokrasi,0.0
demokrat,0.0
demokratis,0.0
den,0.0
dengan,0.0
dengar,0.0
denger,0.0
dengerin,0.0
dengki,0.0
dengkul,0.0
dengung,0.0
denja1hfk7,0.0
denpasar,0.0
depan,0.0
departemen,0.0
depisit,0.0
depok,0.0
depresi,0.0
deret,0.0
derita,0.0
desa,0.0
desa2,0.0
desain,0.0
desak,0.0
desas,0.0
desintegrasi,0.0
desti,0.0
desus,0.0
detail,0.0
detik,0.0
detikers,0.0
detikfinance,0.0
detiknews,0.0
development,0.0
dew,0.0
dewan,0.0
dg,0.0
dg3ufdn3tr,0.0
dgn,0.0
dh,0.0
dhgxtvrhgv,0.0
dhsxpmuepd,0.0
di,0.0
dia,0.0
diakeih,0.0
dialog,0.0
diam,0.0
diambilalih,0.0
dibarengin,0.0
diberitain,0.0
dibodoh2in,0.0
dibohongin,0.0
dibutuhin,0.0
dicepet,0.0
didi,0.0
didik,0.0
didu,0.0
diem,0.0
digebukin,0.0
digitsurvey,0.0
dih,0.0
dihimbau,0.0
dijadiin,0.0
dijakarta,0.0
dikardusin,0.0
dikerjain,0.0
dikotomi,0.0
dimasukin,0.0
din,0.0
dinas,0.0
dingin,0.0
dini,0.0
diomongin,0.0
dip,0.0
dipake,0.0
dipapua,0.0
dipertimbangakan,0.0
dipertimbangkn,0.0
dipindah2,0.0
dipksanakan,0.0
diplomatis,0.0
dirahasikan,0.0
direksi,0.0
direktur,0.0
direspon,0.0
diri,0.0
diributin,0.0
disebutin,0.0
disewain,0.0
disintegrasi,0.0
diskus,0.0
diskusi,0.0
diskusiin,0.0
disorientasi,0.0
dispute,0.0
ditengah2,0.0
diterusin,0.0
ditetapkn,0.0
diversion,0.0
djarot,0.0
djojohadikusumo,0.0
dkenal,0.0
dkfroivcvc,0.0
dki,0.0
dktan,0.0
dkvylnwnwq,0.0
dl,0.0
dll,0.0
dlll,0.0
dlm,0.0
dls,0.0
dlu,0.0
dlxfuim1gr,0.0
dm,0.0
dmz2ovqsd5,0.0
dn,0.0
dngn,0.0
do,0.0
doa,0.0
doi,0.0
dokumen,0.0
domain,0.0
domestik,0.0
dominan,0.0
dominasi,0.0
dong,0.0
dony,0.0
dorong,0.0
dosen,0.0
down,0.0
dpd,0.0
dpn,0.0
dpp,0.0
dpr,0.0
dprd,0.0
dprnya,0.0
dprri,0.0
dpt,0.0
dr,0.0
dradjad,0.0
draf,0.0
draft,0.0
dragons,0.0
dramatis,0.0
dre,0.0
dri,0.0
drone,0.0
drpd,0.0
dsb,0.0
dsjrjjev9o,0.0
dst,0.0
dt73tphy8z,0.0
dtg,0.0
dua,0.0
duaarah,0.0
duduk,0.0
duga,0.0
dugem,0.0
duh,0.0
duit,0.0
duka,0.0
dukung,0.0
dul,0.0
dulu,0.0
duluh,0.0
dungu,0.0
dunia,0.0
dv9lbejcr1,0.0
dye,0.0
e7ft6fm3bh,0.0
e7zk9nssf0,0.0
eah,0.0
ebi8c1nsx6,0.0
ebt,0.0
ebvztykk8u,0.0
ecek,0.0
economicchallenges,0.0
economics,0.0
edar,0.0
edi,0.0
edisi,0.0
edited,0.0
eeeeh,0.0
efek,0.0
efektif,0.0
efektivitas,0.0
efisien,0.0
efisiensi,0.0
egois,0.0
egp,0.0
egypt,0.0
eh,0.0
ehe,0.0
ejek,0.0
ejh1gyg7jg,0.0
ekologi,0.0
ekoners,0.0
ekonom,0.0
ekonomi,0.0
ekonomis,0.0
eks,0.0
eksekusi,0.0
eksekutif,0.0
ekskutif,0.0
ekspor,0.0
ektp,0.0
elak,0.0
election,0.0
elektoral,0.0
elit,0.0
elite,0.0
elo,0.0
elshintaedisimalam,0.0
elshintaedisisore,0.0
emak,0.0
emang,0.0
emas,0.0
emg,0.0
emil,0.0
emiten,0.0
emol,0.0
emosi,0.0
emosional,0.0
empat,0.0
emprit,0.0
empuk,0.0
emrus,0.0
enak,0.0
energi,0.0
engga,0.0
enggak,0.0
enggan,0.0
engkau,0.0
enjoy,0.0
enny,0.0
entar,0.0
ente,0.0
eny,0.0
epak,0.0
episode,0.0
era,0.0
eramusl,0.0
eramuslim,0.0
erat,0.0
erfmutghzt,0.0
eropa,0.0
eror,0.0
erti,0.0
esemka,0.0
esensi,0.0
estafet,0.0
estimasi,0.0
etalkshowtvone,0.0
etam,0.0
etis,0.0
euforia,0.0
eva,0.0
ever,0.0
expresi,0.0
eyy0gapydz,0.0
f7a8jh39vb,0.0
f8t9cejcld,0.0
facbdobslz,0.0
fadli,0.0
fadlizonkpanik,0.0
fadly,0.0
faedah,0.0
faham,0.0
fahmi,0.0
fahri,0.0
fahrii,0.0
faisal,0.0
fake,0.0
fakta,0.0
faktor,0.0
fanatik,0.0
fasilitas,0.0
fatal,0.0
father,0.0
fatlison,0.0
fauna,0.0
favela,0.0
favyzeuhll,0.0
fawaid,0.0
fbzkbcsl1t,0.0
feasibility,0.0
fee,0.0
feeling,0.0
fg14kcodcg,0.0
fh,0.0
fhuquxvh5s,0.0
filosofi,0.0
filosofis,0.0
finance,0.0
finansial,0.0
firman,0.0
fishy,0.0
fisibel,0.0
fisika,0.0
fithra,0.0
fitnah,0.0
fix,0.0
flora,0.0
flying,0.0
focldxxad0,0.0
fokus,0.0
follow,0.0
following,0.0
for,0.0
forest,0.0
formal,0.0
formappi,0.0
forum,0.0
foto,0.0
founding,0.0
fpan,0.0
fpi,0.0
fpmsi,0.0
fq2gcdlmm3,0.0
fraksi,0.0
freeport,0.0
from,0.0
fruqvwodpa,0.0
fs2hzu3lch,0.0
fuck,0.0
full,0.0
fundamental,0.0
fungsi,0.0
futuristik,0.0
fwtmwffmsq,0.0
ga,0.0
gaada,0.0
gabener,0.0
gadang,0.0
gaenak,0.0
gaess,0.0
gagah,0.0
gagal,0.0
gagas,0.0
gaje,0.0
gaji,0.0
gajzz3aaeu,0.0
gak,0.0
gaksih,0.0
galah,0.0
gali,0.0
gamau,0.0
game,0.0
gampang,0.0
ganda,0.0
gandeng,0.0
ganggu,0.0
ganti,0.0
gantung,0.0
gaol,0.0
gapada,0.0
gapapa,0.0
gar,0.0
gara,0.0
gara2,0.0
garanya,0.0
garbage,0.0
garis,0.0
gas,0.0
gasetuju,0.0
gatau,0.0
gatel,0.0
gaul,0.0
gaung,0.0
gbhn,0.0
gdquwneedf,0.0
gdqvezcbph,0.0
geber,0.0
geblek,0.0
gede,0.0
gedung,0.0
gegap,0.0
gejolak,0.0
gelap,0.0
gelar,0.0
geleng,0.0
geliat,0.0
gelintir,0.0
gelitik,0.0
gemalokal,0.0
gemar,0.0
gembira,0.0
gembok,0.0
gemes,0.0
gempa,0.0
gempita,0.0
gencar,0.0
gencar2,0.0
gendok,0.0
generasi,0.0
genggam,0.0
gengsi,0.0
genjot,0.0
genpi,0.0
gentayang,0.0
genting,0.0
geografis,0.0
geopolitics,0.0
geopolitik,0.0
geospasial,0.0
gera,0.0
gerak,0.0
gerindra,0.0
gertak,0.0
gerung,0.0
gesa,0.0
geser,0.0
get,0.0
getah,0.0
getol,0.0
ggra,0.0
ghwtvpxvls,0.0
giat,0.0
gihhh,0.0
gila,0.0
gile,0.0
gilir,0.0
gimana,0.0
gin,0.0
girindra,0.0
giring,0.0
gitu,0.0
gitulah,0.0
gjm1sgr3tr,0.0
gk,0.0
global,0.0
gm2jmw3ert,0.0
gmezyqtxrx,0.0
gmn,0.0
gmna,0.0
goaceh,0.0
goblok,0.0
goblokk,0.0
godok,0.0
gogreen,0.0
golak,0.0
golkar,0.0
good,0.0
goreng,0.0
gosip,0.0
gosong,0.0
gosumut,0.0
government,0.0
gpb0oyjldi,0.0
gpr,0.0
grand,0.0
grasa,0.0
greatest,0.0
greenpeace,0.0
grgr,0.0
grind,0.0
grinda,0.0
groundbreaking,0.0
grup,0.0
grusu,0.0
grw8tuph3y,0.0
gtwqmhwnna,0.0
gua,0.0
guaeoqjoxo,0.0
gubenur,0.0
gubernur,0.0
gue,0.0
gugat,0.0
gugur,0.0
guhnqvgbrs,0.0
guling,0.0
gulir,0.0
gulung,0.0
guna,0.0
gunung,0.0
guoblookk,0.0
gurem,0.0
guru,0.0
gus,0.0
gusami,0.0
gusur,0.0
guys,0.0
gvxt0pkqcp,0.0
gw,0.0
gwudlce52w,0.0
gznecokc1k,0.0
h7xnkbfxpm,0.0
ha,0.0
habibie,0.0
habis,0.0
habitat,0.0
hadap,0.0
hadeeehhh,0.0
hadeuuuhh,0.0
hadimuljono,0.0
hadir,0.0
hafidzahullah,0.0
hag,0.0
haha,0.0
hahag,0.0
hahahaaaa,0.0
hahahaha,0.0
haji,0.0
hak,0.0
hal,0.0
hal2,0.0
halaman,0.0
hallo,0.0
halo,0.0
hambat,0.0
hampir,0.0
hamzah,0.0
hananto,0.0
hancur,0.0
hangat,0.0
hangus,0.0
hanya,0.0
happy,0.0
hapus,0.0
hara,0.0
harap,0.0
harga,0.0
harga2,0.0
hari,0.0
hariyadi,0.0
hartati,0.0
harto,0.0
harus,0.0
hasan,0.0
hashim,0.0
hasil,0.0
hastiadi,0.0
hasut,0.0
hati,0.0
hatta,0.0
hayo,0.0
hci,0.0
hd,0.0
hdf8avgqd3,0.0
he,0.0
hebat,0.0
heboh,0.0
hegemoni,0.0
hegemony,0.0
hehe,0.0
hehehe,0.0
heiii,0.0
hektare,0.0
hemat,0.0
hemmm,0.0
hendak,0.0
hendra,0.0
hendrasetiawan,0.0
hendrik,0.0
henryindragunacalonmentri,0.0
henti,0.0
heran,0.0
here,0.0
heryawan,0.0
hetifah,0.0
heuheu,0.0
hewan,0.0
hfykjh7rwm,0.0
hg,0.0
hh1c9d2s4p,0.0
hhh,0.0
hhhhhh,0.0
hhkzub1rjl,0.0
hibah,0.0
hibur,0.0
hidayat,0.0
hidrometeorologi,0.0
hidup,0.0
hihihhihi,0.0
hijau,0.0
hijrah,0.0
hilang,0.0
hilangnyahargadiribangsa,0.0
hilir,0.0
himpun,0.0
hina,0.0
hindar,0.0
hindia,0.0
hingar,0.0
hingga,0.0
hiruk,0.0
historis,0.0
history,0.0
hitam,0.0
hitung,0.0
hm,0.0
hmm,0.0
hmmm,0.0
hmmmm,0.0
hny,0.0
hnya,0.0
hoaks,0.0
hoaksdealpolitik,0.0
hoax,0.0
honorer,0.0
hormat,0.0
hotel,0.0
hph,0.0
hqxgk66ydo,0.0
hrpn,0.0
hrs,0.0
hsm9gvymgx,0.0
hss,0.0
hsu,0.0
hti,0.0
htn,0.0
https,0.0
hub,0.0
hubung,0.0
huh,0.0
hujan,0.0
hujung,0.0
hukum,0.0
hukumpolitik,0.0
hulu,0.0
humanitarian,0.0
hun,0.0
huni,0.0
husnudzon,0.0
hutan,0.0
hutang,0.0
hutangmenumpukekonomiterpuruk,0.0
hwzublnixz,0.0
hyper,0.0
hzcqsjedou,0.0
i2,0.0
i2zoalnltq,0.0
ia,0.0
ibadah,0.0
ibarat,0.0
ibt5wwgoxy,0.0
ibu,0.05703826826853653
ibukandung,0.0
ibukota,0.0
ibukotabaru,0.0
ibukotabaruindonesiamaju,0.0
ibukotabaruri,0.0
ibukotaindonesia,0.0
ibukotanegarabaru,0.0
ibukotapesanancukong,0.0
